stuID,Class Implementation,Constructor,Inheritance,toString(),Encryption(),Hunting,total,Note
20103470,2.1,0.9,1.1,0.9,3,2,10,
20111362,2.1,0.9,1.1,0.9,3,2,10,
20111831,2.1,0.9,1.1,0.9,3,2,10,
20112768,2.1,0.9,1.1,0.9,3,2,10,
20113671,2.1,0.9,1.1,0.9,3,2,10,
20114182,2.1,0.9,1.1,0.9,3,2,10,
20115409,2.1,0.9,1.1,0.9,3,2,10,
20118839,2.1,0.9,1.1,0.9,3,2,10,
20118920,2.1,0.9,1.1,0.9,3,2,10,
20120088,2.1,0.9,1.1,0.9,3,2,10,
20122153,2.1,0.9,1.1,0.9,3,2,10,
20123743,2.1,0.9,1.1,0.9,3,2,10,
20124163,2.1,0.9,1.1,0.9,3,2,10,
20126991,2.1,0.9,1.1,0.9,3,2,10,
20136453,2.1,0.9,1.1,0.9,3,2,10,
20144981,2.1,0.9,1.1,0.9,3,2,10,
20175265,2.1,0.9,1.1,0.9,3,2,10,
20202226,2.1,0.9,1.1,0.9,3,2,10,
10598093,2.1,0.9,1.1,0.9,3,2,10,
10609701,2.1,0.9,1.1,0.9,3,2,10,
20018261,2.1,0.9,1.1,0.9,3,2,10,
10578328,2.1,0.9,1.1,0.9,3,2,10,
20018560,2.1,0.9,1.1,0.9,3,2,10,
20026660,2.1,0.9,1.1,0.9,3,2,10,
20033314,2.1,0.9,1.1,0.9,3,2,10,
20038895,2.1,0.9,1.1,0.9,3,2,10,
20057516,2.1,0.9,1.1,0.9,3,2,10,
20081218,2.1,0.9,1.1,0.9,3,2,10,
20088450,2.1,0.9,1.1,0.9,3,2,10,
20097114,2.1,0.9,1.1,0.9,3,2,10,
20097762,2.1,0.9,1.1,0.9,3,2,10,
20098663,2.1,0.9,1.1,0.9,3,2,10,
20100935,2.1,0.9,1.1,0.9,3,2,10,
20106537,2.1,0.9,1.1,0.9,3,2,10,
20108389,2.1,0.9,1.1,0.9,3,2,10,
20109383,2.1,0.9,1.1,0.9,3,2,10,
20112524,2.1,0.9,1.1,0.9,3,2,10,
20113451,2.1,0.9,1.1,0.9,3,2,10,
20114467,2.1,0.9,1.1,0.9,3,2,10,
20116398,2.1,0.9,1.1,0.9,3,2,10,
20116752,2.1,0.9,1.1,0.9,3,2,10,
20120727,2.1,0.9,1.1,0.9,3,2,10,
20122062,2.1,0.9,1.1,0.9,3,2,10,
20122206,2.1,0.9,1.1,0.9,3,2,10,
20123767,2.1,0.9,1.1,0.9,3,2,10,
20125820,2.1,0.9,1.1,0.9,3,2,10,
20126422,2.1,0.9,1.1,0.9,3,2,10,
20126604,2.1,0.9,1.1,0.9,3,2,10,
20136221,2.1,0.9,1.1,0.9,3,2,10,
20162799,2.1,0.9,1.1,0.9,3,2,10,
20176738,2.1,0.9,1.1,0.9,3,2,10,
20094473,2.1,0.9,1.1,0.9,3,1.6,9.6,
20114273,2.1,0.9,1.1,0.9,3,1.6,9.6,
20118308,2.1,0.9,1.1,0.9,3,1.6,9.6,
20118619,2.1,0.9,1.1,0.9,3,1.6,9.6,
20126795,2.1,0.9,1.1,0.9,2.4,2,9.4,
20121068,2.1,0.9,1.1,0.9,2.4,2,9.4,
